activity_id,title,age_min_months,age_max_months,purpose,materials,duration_minutes,adult_setup,steps,safety_limits,sibling_suitability,printable_type
ACT-001,Name and Point to Feelings,18,30,"Notice simple feelings cues","Large paper feelings cards",5,"Print and cut large cards before the child arrives","Show two cards; name one feeling; invite pointing; accept any response","Adult supervision; cards larger than the child's palm; no loose small pieces",adaptable,match-and-circle
ACT-002,Cozy Corner Choice,18,30,"Support a calm transition","Cushion; board book; soft toy",7,"Place two familiar items in a clear space","Offer two choices; sit nearby; use one short phrase; end when child signals done","Use only familiar age-rated items; never restrain the child",shared,weekly-overview
ACT-003,Roll the Ball Turn-Taking,18,48,"Practice simple sibling turns","Large soft ball",8,"Clear floor space and mark two sitting spots","Adult rolls first; each child takes a turn; name whose turn; stop while play is positive","Ball must be too large to swallow; constant adult supervision",shared,activity-card
ACT-004,First-Then Picture Pair,18,48,"Make one routine transition predictable","Two large routine pictures",5,"Choose one current task and one preferred next activity","Show first picture; show then picture; use the same short phrase; praise transition effort","Adult handles all cutting; use large intact cards",adaptable,routine-sequencing
ACT-005,Copy My Calm Breath,36,60,"Practice paced breathing as play","Pinwheel image or hand prompt",4,"No special setup","Adult models a slow pretend candle blow; child copies if willing; repeat up to three times","Stop if uncomfortable; no claim that breathing treats a condition",older-only,activity-card
ACT-006,Feelings Match and Circle,36,60,"Match situations to simple feelings","Printed worksheet; chunky crayon",10,"Print the approved worksheet","Read one short situation; offer two choices; child circles a face; discuss without correcting feelings","Use washable non-toxic drawing tools; supervise",older-only,match-and-circle
ACT-007,Two-Choice Bedtime Sequence,30,60,"Support bedtime participation","Three large routine cards",8,"Adult selects two safe choices and prepares cards","Name the fixed bedtime step; offer two choices for order; follow the chosen sequence; note what happened","Choices cannot remove required safety or care steps",older-only,routine-sequencing
ACT-008,Stuffed-Toy Gentle Hands,30,60,"Practice gentle touch through pretend play","One familiar stuffed toy",7,"Place toy in play area","Model gentle touch; invite imitation; name gentle hands; end with a simple success","Not a response to current danger or injury; adult supervises",older-only,activity-card
ACT-009,Large Shape Pasting,18,30,"Practice placing and shared attention","Large paper shapes; non-toxic glue stick",8,"Adult cuts every shape larger than the child's palm","Adult applies glue; child places one shape; name the shape; stop after three to five pieces","No small or detachable pieces; adult controls glue and cutting; constant supervision",adaptable,sticking-page
ACT-010,Pattern Pasting,36,60,"Practice simple sequencing","Large paper shapes; child-safe glue stick",12,"Adult pre-cuts all shapes","Choose a two-shape pattern; child continues it; adult prompts only as needed; display result","Adult performs all cutting; supervise glue use",adaptable,sticking-page
ACT-011,Sibling Helper Choice,30,60,"Create a positive shared routine role","Two picture-choice cards",6,"Choose two genuine helper roles","Older child chooses a role; younger child receives a simple matching action; adult thanks both; rotate next time","Do not force sharing or physical contact",shared,activity-card
ACT-012,Pause-and-Label Observation,18,60,"Help caregiver record what happens before and after a routine","Weekly observation sheet",3,"Print one observation row","Record what happened before; record observable behavior; record what helped; avoid diagnostic labels","For caregiver use only; not a clinical assessment",caregiver-only,weekly-overview
ACT-013,Large Sticker Choice Board,24,60,"Offer limited choices during a routine","Large age-rated stickers; choice sheet",8,"Verify stickers are age-rated and supervise setup","Offer two choices; child places one sticker; complete the matching routine step; record response","Not for children who mouth small items; use only age-rated large stickers with constant supervision",adaptable,sticking-page
ACT-014,Color the Routine Step,36,60,"Rehearse one familiar routine step","Approved coloring page; chunky crayons",10,"Print one simple page","Name the routine; child colors; child tells or points to what happens next; adult confirms","Non-toxic materials; adult supervision",older-only,coloring-page
ACT-015,Picture Book Reset,18,48,"Reconnect after a difficult transition","Familiar board book",6,"Choose a short familiar book","Offer book without pressure; label one picture per page; follow child's attention; finish with next-step cue","Board book must be intact and age-appropriate; never use to delay urgent help",shared,activity-card
